550850.625,567484.188,-750000.125,-79264.922,328794.531,750000.062,-750000.125,235495.672,-0.153,0.950,0.153,0.000,0.000,0.000,66.667,1.000,1.000
532108.438,429614.125,-750000.125,-543425.188,456099.531,750000.062,-750000.125,-626872.500,-0.145,0.971,0.141,0.000,0.000,0.000,66.667,2.000,1.000
633047.812,302916.750,-614773.750,-372840.719,541214.375,750000.062,-625899.688,-696986.000,-0.145,0.972,0.140,0.000,0.000,0.000,66.667,3.000,1.000
741116.750,413986.688,81000.133,-16752.098,628780.438,750000.062,517717.938,180956.328,-0.143,0.970,0.134,0.000,0.000,0.000,66.667,4.000,1.000
735127.750,552577.062,600530.062,376219.031,610291.062,727420.062,745942.062,750000.062,-0.142,0.972,0.133,0.000,0.000,0.000,66.667,5.000,1.000
679191.250,616429.938,614599.938,583178.438,617575.000,613094.000,619387.875,671790.500,-0.141,0.972,0.130,-4.852,1.587,-7.202,66.667,6.000,1.000
735052.812,630695.812,626735.688,663171.312,750000.062,703614.625,653835.250,614502.938,-0.140,0.975,0.130,-4.456,-8.148,-1.434,66.667,7.000,1.000
750000.062,642063.125,677732.562,688907.375,750000.062,750000.062,750000.062,750000.062,-0.140,0.977,0.131,-3.418,-11.322,1.099,66.667,8.000,1.000
750000.062,670494.938,750000.062,750000.062,750000.062,735702.188,750000.062,750000.062,-0.138,0.977,0.131,-2.686,-12.207,2.106,66.667,9.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,-0.140,0.979,0.128,-2.258,-12.482,2.472,66.667,10.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,-0.141,0.980,0.129,-1.801,-12.115,2.441,66.667,11.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,-0.145,0.985,0.128,-1.221,-11.566,2.319,66.667,12.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,-0.145,0.986,0.131,-0.885,-11.230,2.228,66.667,13.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,750000.062,-0.147,0.988,0.129,-0.519,-10.834,2.136,66.667,14.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,736916.188,750000.062,750000.062,-0.147,0.992,0.131,-0.336,-10.376,2.075,66.667,15.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,624245.438,750000.062,750000.062,-0.149,0.996,0.133,-0.092,-9.979,1.984,66.667,16.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,545700.438,750000.062,750000.062,-0.151,0.999,0.135,-0.031,-9.735,2.075,66.667,17.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,514127.781,750000.062,750000.062,-0.152,1.001,0.136,-0.031,-9.613,1.923,66.667,18.000,1.000
750000.062,750000.062,750000.062,750000.062,750000.062,495177.094,750000.062,750000.062,-0.155,1.003,0.135,0.000,-9.338,1.892,66.667,19.000,1.000
724757.938,750000.062,750000.062,750000.062,750000.062,478039.812,750000.062,750000.062,-0.154,1.002,0.135,0.061,-9.094,1.862,66.667,20.000,1.000
695238.625,750000.062,750000.062,750000.062,750000.062,462555.438,750000.062,750000.062,-0.154,1.003,0.134,0.061,-8.942,1.831,66.667,21.000,1.000
668651.688,750000.062,750000.062,750000.062,750000.062,448601.406,750000.062,750000.062,-0.156,1.004,0.137,0.000,-8.636,1.740,66.667,22.000,1.000
644487.812,750000.062,750000.062,750000.062,750000.062,435826.031,750000.062,750000.062,-0.157,1.008,0.134,0.031,-8.575,1.770,66.667,23.000,1.000
622356.375,750000.062,750000.062,750000.062,750000.062,424012.250,750000.062,750000.062,-0.158,1.006,0.134,0.000,-8.453,1.709,66.667,24.000,1.000
602113.438,750000.062,750000.062,750000.062,750000.062,413177.281,750000.062,750000.062,-0.161,1.005,0.138,0.000,-8.331,1.617,66.667,25.000,1.000
583644.875,750000.062,750000.062,750000.062,750000.062,403323.031,750000.062,750000.062,-0.163,1.005,0.135,-0.183,-8.453,1.404,66.667,26.000,1.000
566660.000,750000.062,750000.062,750000.062,750000.062,394241.781,750000.062,750000.062,-0.169,1.005,0.130,-0.244,-8.484,1.404,66.667,27.000,1.000
550928.500,750000.062,750000.062,750000.062,750000.062,385734.812,750000.062,750000.062,-0.170,1.006,0.130,-0.214,-8.545,1.404,66.667,28.000,1.000
536371.812,750000.062,750000.062,750000.062,750000.062,377824.250,750000.062,750000.062,-0.173,1.005,0.134,-0.244,-8.606,1.251,66.667,29.000,1.000
522967.469,750000.062,750000.062,750000.062,750000.062,370565.656,750000.062,750000.062,-0.174,1.005,0.132,-0.244,-8.789,1.221,66.667,30.000,1.000
510562.312,750000.062,750000.062,750000.062,750000.062,363840.188,750000.062,750000.062,-0.175,1.006,0.132,-0.275,-8.850,1.190,66.667,31.000,1.000
498950.062,750000.062,750000.062,750000.062,750000.062,357502.219,750000.062,750000.062,-0.178,1.009,0.133,-0.244,-9.064,1.068,66.667,32.000,1.000
488120.375,750000.062,750000.062,750000.062,750000.062,351541.625,750000.062,750000.062,-0.179,1.011,0.135,-0.336,-9.430,1.038,66.667,33.000,1.000
478062.000,750000.062,750000.062,750000.062,750000.062,346017.000,750000.062,750000.062,-0.179,1.012,0.137,-0.519,-9.705,1.038,66.667,34.000,1.000
468681.938,750000.062,750000.062,750000.062,750000.062,340881.375,750000.062,750000.062,-0.181,1.013,0.138,-0.763,-10.132,1.007,66.667,35.000,1.000
